Name;Municipality;Owner/owner of the spv;Spv;Operator, contact details;Cabel information,contact details;"Nominal power (kW)";Installation year;Wind turbine Manufacturer;Wind turbine tip height (m);Wind turbine hub height (m);Wind turbine rotor diameter (m);Region;"Installed (1)/Not in use(0)";Demolish year
Kooninkallio 5;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 6;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 7;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 8;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 9;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Koppelo;Sastamala;Maatalousyritys Pertti Tuori;;;;225;2004;Vestas;;50;29;Pirkanmaa;1;
Kopsa 1;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 2;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 3;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 4;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 5;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 6;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa 7;Raahe;Puhuri Oy;Pirttiselkä Tuulipuisto Oy;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3000;2013;Siemens Gamesa;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa II 1;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;142,5;113;Pohjois-Pohjanmaa;1;
Kopsa II 10;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 2;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 3;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 4;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 5;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 6;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 7;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 8;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kopsa II 9;Raahe;Puhuri Oy;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;3300;2014;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Korkeakangas 1;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 2;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 3;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 4;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 5;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 6;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 7;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 8;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korkeakangas 9;Karstula;Aquila Capital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4800;2022;Nordex Acciona;230;155;149;Keski-Suomi;1;
Korsnäs 1;Vaasa;Korsnäsin Tuulivoimapuisto Oy;;;;200;1991;Nordtank;;;;Pohjanmaa;0;2017
Korsnäs 3;Vaasa;Korsnäsin Tuulivoimapuisto Oy;;;;200;1991;Nordtank;;;;Pohjanmaa;0;2017
Kotka 1;Kotka;Kotkan Energia Oy;;;;1000;1999;Siemens Gamesa;;;;Kymenlaakso;0;2015
Kotka 3;Kotka;Kotkan Energia Oy;;;;2350;2014;Enercon;;98;92;Kymenlaakso;1;
Kotka 4;Kotka;Kotkan Energia Oy;;;;2350;2014;Enercon;;98;92;Kymenlaakso;1;
Kotka 5;Kotka;Kotkan Energia Oy;;;;2350;2016;Enercon;;98;92;Kymenlaakso;1;
Krisantie;Eurajoki;Ari-Matti Väkiparta;;;;250;2005;NEGMicon;;;;Satakunta;0;2013
Krisantie 2;Eurajoki;Ari-Matti Väkiparta;;;;500;2013;Enercon;;;;Satakunta;1;
Kristiina T1;Kristiinankaupunki;Innopower Oy;;;;1000;2003;WinWinD;;;;Pohjanmaa;0;2016
Kristiina T2;Kristiinankaupunki;Innopower Oy;;;;1000;2003;WinWinD;;;;Pohjanmaa;0;2016
Kristiina T3;Kristiinankaupunki;Innopower Oy;;;;1000;2003;WinWinD;;;;Pohjanmaa;0;2016
Kröpuln 1;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 2;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 3;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 4;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 5;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 6;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kröpuln 7;Uusikaarlepyy;Infracapital;;OX2, Niko Blomberg, niko.blomberg@ox2.com;OX2, Niko Blomberg, niko.blomberg@ox2.com;4300;2021;Vestas;;150;150;Pohjanmaa;1;
Kuivamatala 1;Ii;Vapo Oy;;;;750;1998;NEGMicon;;50;44;Pohjois-Pohjanmaa;1;
Kuivamatala 2;Ii;Vapo Oy;;;;750;1998;NEGMicon;;50;44;Pohjois-Pohjanmaa;1;
Kuivamatala 3;Ii;Vapo Oy;;;;750;1998;NEGMicon;;50;44;Pohjois-Pohjanmaa;1;
Kuolavaara-Keulakkopää 1;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 10;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 11;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 12;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 13;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 14;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 15;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 16;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 17;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2016;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 2;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 3;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 4;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 5;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 6;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 7;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 8;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuolavaara-Keulakkopää 9;Kittilä;Allianz Capital Partners;Kuolavaara-Keulakkopään Tuulipuisto Oy;;;3000;2015;Nordex Acciona;;120;120;Lappi;1;
Kuuronkallio 1;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 2;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 3;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 4;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 5;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 6;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 7;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 8;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 9;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 10;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 11;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 12;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 13;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kuuronkallio 14;Kannus;wdp Finland Oy;wpd Kannuksen Tuulipuisto Oy;wdp windmanager Suomi Oy, windmanager@wdp.fi;wdp windmanager Suomi Oy, windmanager@wdp.fi;4300;2019;Vestas;;155;150;Keski-Pohjanmaa;1;
Kytölä 1;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytölä 2;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytölä 3;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytölä 4;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytölä 5;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytölä 6;Alavieska;Taaleri Energia;Kytölän Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3300;2015;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Kytövuori 1;Ruovesi;Tuulivoima Heinola Oy;;;;600;2013;Siemens Gamesa;;50;44;Pirkanmaa;1;
Kökar 1;Lemland;Ålands Vindenergi Andelslag;;;;500;1997;Enercon;;;;Ahvenanmaa;1;
Laitakari 2;Ii;Iin Energia Oy;;;;1000;2009;WinWinD;;70;64;Pohjois-Pohjanmaa;1;
Laitakari 3;Ii;Lumituuli Oy;;Jaakko Savolahti @lumituuli.fi;Jaakko Savolahti @lumituuli.fi;800;2014;Enercon;;73;53;Pohjois-Pohjanmaa;1;
Lakiakangas 1 1;Karijoki;Ardian;CPC Lakiakangas 1 Oy;;;3450;2017;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 1 2;Karijoki;Ardian;CPC Lakiakangas 1 Oy;;;3450;2017;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 1;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 2;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 3;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 4;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 5;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 6;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 7;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 8;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 9;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 10;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 11;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 2 12;Isojoki;Ardian;CPC Lakiakangas 1 Oy;;;4200;2019;Vestas;;135;150;Etelä-Pohjanmaa;1;
Lakiakangas 3 1;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 2;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 3;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 4;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 5;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 6;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 7;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 8;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 9;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 10;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 11;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 12;Kristiinankaupunki;Helen;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 13;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 14;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 15;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 16;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 17;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 18;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 19;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lakiakangas 3 20;Kristiinankaupunki;CPC Finland;CPC Lakiakangas 2 Oy;;;4300;2022;Vestas;;145;150;Pohjanmaa;1;
Lammasoaivi 1;Enontekiö;Tunturituuli Oy;;;;450;1996;Siemens Gamesa;;35;37;Lappi;1;
Lammasoaivi 2;Enontekiö;Tunturituuli Oy;;;;450;1996;Siemens Gamesa;;35;37;Lappi;1;
Lammasoaivi 3;Enontekiö;Tunturituuli Oy;;;;600;1998;Siemens Gamesa;;41;44;Lappi;1;
Latamäki 1;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
Latamäki 2;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
Latamäki 3;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
Latamäki 4;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
Latamäki 5;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
Latamäki 6;Luhanka;Exilion Tuuli Ky;;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;Ilmatar Service Oy,  Henri Vanha, henri.vanha@ilmatar.fi;3000;2014;Vestas;;140;112;Keski-Suomi;1;
